latitude,longitude,Year,TXm
-40,144,2002,16.03
-40,144,2003,16.14
-40,144,2004,15.67
-40,144,2005,16.51
-40,144,2006,15.8
-40,144,2007,16.82
-40,144,2008,16.45
-40,144,2009,16.54
-40,144,2010,16.51
-40,144,2011,16.14
-40,144,2012,16.42
-40,144,2013,16.89
-40,144,2014,16.87
-40,144,2015,16.18
-40,144,2016,16.42
-40,144,2017,16.66
-40,144,2018,16.75
-40,144,2019,16.37
-40,144,2020,16.04
-40,144,2021,16
-40,144,2022,16.62
-40,148,2000,17.23
-40,148,2001,17.3
-40,148,2002,17.21
-40,148,2003,17.22
-40,148,2004,16.6
-40,148,2005,17.46
-40,148,2006,16.9
-40,148,2007,17.71
-40,148,2008,17.41
-40,148,2009,17.48
-40,148,2010,17.45
-40,148,2011,17.08
-40,148,2012,17.43
-40,148,2013,17.73
-40,148,2014,18.09
-40,148,2015,17.46
-40,148,2016,17.7
-40,148,2017,17.54
-40,148,2018,17.56
-40,148,2019,17.35
-40,148,2020,17.02
-40,148,2021,17.1
-40,148,2022,17.38
-38,141,2000,19.35
-38,141,2001,19
-38,141,2002,18.98
-38,141,2003,18.65
-38,141,2004,18.55
-38,141,2005,19.4
-38,141,2006,19.1
-38,141,2007,19.72
-38,141,2008,18.88
-38,141,2009,19.58
-38,141,2010,18.9
-38,141,2011,18.79
-38,141,2012,19.44
-38,141,2013,19.66
-38,141,2014,19.88
-38,141,2015,19.35
-38,141,2016,18.97
-38,141,2017,19.48
-38,141,2018,19.54
-38,141,2019,19.31
-38,141,2020,18.77
-38,141,2021,18.78
-38,141,2022,18.97
-38,142,2000,19.64
-38,142,2001,19.12
-38,142,2002,19.15
-38,142,2003,18.73
-38,142,2004,18.56
-38,142,2005,19.63
-38,142,2006,19.26
-38,142,2007,19.82
-38,142,2008,19.11
-38,142,2009,19.78
-38,142,2010,18.92
-38,142,2011,18.91
-38,142,2012,19.48
-38,142,2013,19.78
-38,142,2014,19.97
-38,142,2015,19.36
-38,142,2016,19.08
-38,142,2017,19.54
-38,142,2018,19.74
-38,142,2019,19.48
-38,142,2020,18.76
-38,142,2021,18.69
-38,142,2022,18.88
-38,143,2000,19.85
-38,143,2001,19.31
-38,143,2002,19.44
-38,143,2003,19.19
-38,143,2004,18.84
-38,143,2005,19.86
-38,143,2006,19.77
-38,143,2007,20.24
-38,143,2008,19.54
-38,143,2009,20.17
-38,143,2010,19.16
-38,143,2011,19.35
-38,143,2012,19.88
-38,143,2013,20.31
-38,143,2014,20.65
-38,143,2015,20.08
-38,143,2016,19.72
-38,143,2017,20.23
-38,143,2018,20.49
-38,143,2019,20.28
-38,143,2020,19.18
-38,143,2021,19.13
-38,143,2022,19.37
-38,144,2000,19.54
-38,144,2001,19.13
-38,144,2002,19.48
-38,144,2003,19.2
-38,144,2004,18.92
-38,144,2005,20.02
-38,144,2006,19.69
-38,144,2007,20.33
-38,144,2008,19.7
-38,144,2009,20.28
-38,144,2010,19.35
-38,144,2011,19.32
-38,144,2012,19.76
-38,144,2013,20.37
-38,144,2014,20.59
-38,144,2015,20.09
-38,144,2016,19.85
-38,144,2017,20.36
-38,144,2018,20.51
-38,144,2019,20.5
-38,144,2020,19.23
-38,144,2021,19.2
-38,144,2022,19.15
-38,145,2000,20.04
-38,145,2001,19.72
-38,145,2002,19.92
-38,145,2003,19.76
-38,145,2004,19.31
-38,145,2005,20.46
-38,145,2006,19.99
-38,145,2007,20.98
-38,145,2008,20.09
-38,145,2009,20.7
-38,145,2010,20
-38,145,2011,19.83
-38,145,2012,20.06
-38,145,2013,20.73
-38,145,2014,20.96
-38,145,2015,20.5
-38,145,2016,20.34
-38,145,2017,20.82
-38,145,2018,20.87
-38,145,2019,21
-38,145,2020,19.8
-38,145,2021,19.82
-38,145,2022,19.93
-38,146,2000,18.64
-38,146,2001,18.49
-38,146,2002,18.52
-38,146,2003,18.51
-38,146,2004,18
-38,146,2005,18.88
-38,146,2006,18.69
-38,146,2007,19.45
-38,146,2008,18.5
-38,146,2009,19.21
-38,146,2010,18.44
-38,146,2011,18.2
-38,146,2012,18.22
-38,146,2013,19.15
-38,146,2014,19.47
-38,146,2015,18.91
-38,146,2016,18.94
-38,146,2017,19.26
-38,146,2018,19.35
-38,146,2019,19.47
-38,146,2020,18.34
-38,146,2021,18.21
-38,146,2022,18.35
-38,147,2000,20.57
-38,147,2001,20.41
-38,147,2002,20.72
-38,147,2003,20.79
-38,147,2004,20.37
-38,147,2005,21.3
-38,147,2006,20.92
-38,147,2007,21.19
-38,147,2008,20.72
-38,147,2009,21.57
-38,147,2010,20.75
-38,147,2011,20.23
-38,147,2012,20.49
-38,147,2013,21.36
-38,147,2014,21.49
-38,147,2015,20.83
-38,147,2016,21.12
-38,147,2017,21.62
-38,147,2018,21.73
-38,147,2019,21.79
-38,147,2020,20.48
-38,147,2021,20.18
-38,147,2022,19.99
-37,140,2000,20.31
-37,140,2001,19.78
-37,140,2002,20.02
-37,140,2003,19.6
-37,140,2004,19.75
-37,140,2005,20.36
-37,140,2006,20.23
-37,140,2007,20.88
-37,140,2008,20.05
-37,140,2009,20.56
-37,140,2010,19.82
-37,140,2011,19.93
-37,140,2012,20.34
-37,140,2013,20.68
-37,140,2014,20.83
-37,140,2015,20.45
-37,140,2016,19.87
-37,140,2017,20.54
-37,140,2018,20.49
-37,140,2019,20.29
-37,140,2020,19.71
-37,140,2021,19.76
-37,140,2022,20.03
-37,141,2000,21.09
-37,141,2001,20.49
-37,141,2002,21.09
-37,141,2003,20.42
-37,141,2004,20.37
-37,141,2005,21.14
-37,141,2006,21.37
-37,141,2007,21.77
-37,141,2008,20.88
-37,141,2009,21.57
-37,141,2010,20.59
-37,141,2011,20.57
-37,141,2012,21.11
-37,141,2013,21.37
-37,141,2014,22.08
-37,141,2015,21.42
-37,141,2016,20.77
-37,141,2017,21.19
-37,141,2018,21.37
-37,141,2019,21.37
-37,141,2020,20.36
-37,141,2021,20.68
-37,141,2022,20.42
-37,142,2000,21.16
-37,142,2001,20.54
-37,142,2002,21.24
-37,142,2003,20.55
-37,142,2004,20.55
-37,142,2005,21.23
-37,142,2006,21.52
-37,142,2007,21.7
-37,142,2008,20.78
-37,142,2009,21.65
-37,142,2010,20.46
-37,142,2011,20.6
-37,142,2012,21.04
-37,142,2013,21.34
-37,142,2014,22.04
-37,142,2015,21.41
-37,142,2016,20.71
-37,142,2017,21.37
-37,142,2018,21.65
-37,142,2019,21.56
-37,142,2020,20.39
-37,142,2021,20.57
-37,142,2022,20.17
-37,143,2000,20.72
-37,143,2001,20.33
-37,143,2002,21
-37,143,2003,20.37
-37,143,2004,20.18
-37,143,2005,20.76
-37,143,2006,21.16
-37,143,2007,21.42
-37,143,2008,20.5
-37,143,2009,21.42
-37,143,2010,20.06
-37,143,2011,20.35
-37,143,2012,20.7
-37,143,2013,21.34
-37,143,2014,21.95
-37,143,2015,21.3
-37,143,2016,20.78
-37,143,2017,21.48
-37,143,2018,21.76
-37,143,2019,21.62
-37,143,2020,20.32
-37,143,2021,20.15
-37,143,2022,20.01
-37,144,2000,20.63
-37,144,2001,20.76
-37,144,2002,21.42
-37,144,2003,20.73
-37,144,2004,20.66
-37,144,2005,21.19
-37,144,2006,21.72
-37,144,2007,21.92
-37,144,2008,21.04
-37,144,2009,21.94
-37,144,2010,20.51
-37,144,2011,20.63
-37,144,2012,21.05
-37,144,2013,21.8
-37,144,2014,22.43
-37,144,2015,21.84
-37,144,2016,21.31
-37,144,2017,21.97
-37,144,2018,22.35
-37,144,2019,22.28
-37,144,2020,20.79
-37,144,2021,20.57
-37,144,2022,20.6
-37,145,2000,20.09
-37,145,2001,20.33
-37,145,2002,20.92
-37,145,2003,20.16
-37,145,2004,20.12
-37,145,2005,20.63
-37,145,2006,21.12
-37,145,2007,21.54
-37,145,2008,20.48
-37,145,2009,21.41
-37,145,2010,20.07
-37,145,2011,20.01
-37,145,2012,20.36
-37,145,2013,21.24
-37,145,2014,21.7
-37,145,2015,21.35
-37,145,2016,20.66
-37,145,2017,21.32
-37,145,2018,21.61
-37,145,2019,21.66
-37,145,2020,20.2
-37,145,2021,19.95
-37,145,2022,20.03
-37,146,2000,20.13
-37,146,2001,20.52
-37,146,2002,20.88
-37,146,2003,20.25
-37,146,2004,20.2
-37,146,2005,20.5
-37,146,2006,21.44
-37,146,2007,21.5
-37,146,2008,20.4
-37,146,2009,21.29
-37,146,2010,20.02
-37,146,2011,19.97
-37,146,2012,20.04
-37,146,2013,21.13
-37,146,2014,21.5
-37,146,2015,21.08
-37,146,2016,20.59
-37,146,2017,20.96
-37,146,2018,21.31
-37,146,2019,21.41
